laptop_ID,Price_in_euros
209,1528.546026350107
1281,263.37557061288226
1168,251.28858669913404
1231,577.4711025413845
1020,569.3305843008766
379,420.301775459241
553,513.5766342470912
172,880.376828100288
779,1089.6342101201926
609,191.3771772905154
256,2305.989080776138
117,1127.4068300400577
283,209.94225447642663
1195,1707.2372983581686
588,455.6255209203774
743,467.562780668885
715,1477.8795164464962
160,992.4605310949565
1021,1301.889966579523
49,334.0798728071752
690,1301.382401824391
1135,279.3617999443189
852,459.4030513499506
857,921.3791154459414
210,285.90083877026655
485,436.576174796889
560,422.55689078847263
1209,864.6503440690119
953,2901.2318426234474
460,743.1196773091286
1092,2657.1307643895443
152,267.81852690288605
806,469.71478291505144
986,2355.7451503486336
917,1838.928713225566
408,1894.1125025752776
942,385.0857036454416
959,1150.7565102770473
461,518.9316929135692
858,1234.0180811062933
329,437.47284736103984
1293,940.4006951238688
1284,556.0574670600705
628,849.0968869085877
262,1449.3334100185834
933,639.8394057134602
676,755.7673275375988
608,347.93899678012383
125,654.9449467277963
450,435.0530858275215
67,1687.5116501915206
93,558.5435123141355
769,825.8210544314803
1070,341.0894837008101
1162,1541.846352056676
594,1427.361360513802
288,274.21657007561726
273,583.30296498871
355,712.615098509704
717,389.71982436857274
18,2406.3186158612175
804,1777.5105718301363
60,387.8153842250221
186,1875.5672039664964
298,916.6126886291614
864,1111.8558034634589
1026,716.6150046712709
240,1089.6342101201926
875,1761.730581697011
276,1983.9515425780683
939,397.6133339036729
436,646.697519434497
702,733.7442098629905
938,1221.3973689450315
558,677.3536064880284
527,1149.9562213326428
624,1186.6320014098415
1128,1219.2220814976033
844,1780.3782711614635
811,988.6281515526953
129,478.8064473561496
994,999.9824200740753
445,2003.1286597995152
1051,1364.4636308724587
937,1099.9903919986311
1073,1462.2166012964487
382,299.32623792144165
765,549.5197414946648
159,698.2212090044001
998,575.0257696642313
696,393.45886435494475
90,1643.3750485128517
1082,693.3506844450515
913,2814.0673024351886
252,3122.5421478058706
1183,1041.503802296189
589,599.2189827236782
962,285.06927583019467
989,606.5664618800491
361,519.3682801795541
849,1399.092483523871
1067,351.1095423538353
1,1418.917045619519
380,664.464962314233
344,269.9567046924547
683,1564.2720756017247
405,1352.2528185133172
602,480.0982905063564
1296,190.90313784447386
782,678.1927887971951
91,1152.2422471455336
1122,561.3817253411304
251,378.03481047207583
218,636.5790892152037
941,579.2108475146774
533,534.2391160288042
1258,578.8086666674717
1059,700.9619606916206
905,2175.639980033335
220,954.2087988950599
230,705.1671510072542
1319,449.8964570230392
265,601.7555549114451
906,1187.098024436063
880,997.0765002223648
733,377.9590583660935
1004,1654.8934272879544
866,631.3572675654334
80,452.0262167622345
1278,668.16232571257
744,1586.9083065422046
1010,1341.5457262149685
351,1406.8109509614237
524,1523.504235779454
573,366.5019635784582
208,2100.571272644994
799,899.6102107297635
97,716.7936370422655
375,1283.7590365535793
1076,292.2087406138963
189,1194.6640253193182
225,498.4700883287938
1084,1323.9928021461726
1029,771.1143486655881
1248,1408.3284251686853
73,954.2087988950599
1178,1117.7109353909063
659,496.0410168349777
87,1369.346490718415
474,455.24845174123215
1111,440.2208598258656
56,510.9988353730936
816,355.131173091504
1077,1099.3739787555821
348,490.584731362997
664,513.8799631842545
536,709.3294493694028
248,510.3657679865752
3,600.4358250385413
170,300.93482066620186
555,240.90613093393276
612,2104.742680542074
1239,808.2534546287353
981,377.62009637523516
487,638.7982924278209
404,723.5961511413554
1031,1904.3662905613528
1314,246.3077994465382
320,498.77300032283335
729,612.0069635446627
1107,891.8415635798215
314,246.3862651711576
1273,275.6935075960399
1270,550.6728954693428
693,3159.064055618981
1205,429.78307082750365
911,559.2561337399707
272,431.1796894106352
532,812.9364707127419
1102,820.9651417917319
1182,406.8482899689489
839,3697.9021391593246
529,644.2320756789736
863,617.4543280259172
772,1252.7208726598785
1221,1940.5109120230934
759,247.9533771628944
1194,523.3358919014778
821,1191.1608547709704
497,698.0281903857418
100,568.4790920382011
1204,1549.8168358717755
1071,349.8982074480216
1202,418.1310999632753
881,421.4031858886495
919,307.66905494347867
968,1028.1554820346644
299,711.032145113823
632,699.7991133652547
36,296.7394072838363
193,601.7555549114451
1274,2073.2499763437554
481,1226.9856809043006
143,610.4666057572347
999,312.73575786406775
383,192.46161777756805
1075,2014.7045040971484
168,269.9479932774923
515,1261.8051181154335
662,229.57198632170164
1150,1004.7002422934474
108,687.2889470922448
997,440.7567656944376
103,651.1468843209144
308,490.7512163585282
975,1310.0461190356757
872,644.40565860859
1170,514.5829902551677
425,339.0458446561593
179,357.7824535843251
217,278.7118767123564
803,1318.1385546629228
1148,945.1160087676843
814,1178.7417274538811
774,652.8710449797404
908,672.7351874309765
1006,274.3883704468215
1247,929.0202737348548
707,464.80535948436875
1230,1346.485650524635
381,599.2982212534196
882,381.77820328010114
708,446.98255920367563
502,1049.9307893023408
1169,180.23188066446988
550,496.0410168349777
1096,2638.2487019770224
24,654.38506652836
784,672.5480613749999
556,929.1192806260348
807,1396.5512532381204
1245,384.81106808115663
751,785.2289489411263
1039,758.5636918496012
1176,538.9726161189518
797,2332.6573040361627
830,643.3353251842095
865,633.9894232072392
313,659.5819811830905
1217,1768.5270402028748
